id;tipo_proceso;fecha_inicio;fecha_fin;estado;hash_blockchain
1;architect División;2025-06-04T13:57:50;2025-06-04T03:35:04;mano Deportes Plástico;Amarillo Configuración Savings
2;array Especialista Metal;2025-06-04T16:35:20;2025-06-04T02:58:18;Seguro;payment Verde
3;Ejecutivo regional Explanada;2025-06-04T00:35:44;2025-06-04T15:11:26;Configurable;Heredado
4;virtual Informática sistemática;2025-06-04T07:24:50;2025-06-04T02:43:56;deposit Explanada;iterate
5;transmitter Avon;2025-06-04T03:57:36;2025-06-04T16:20:02;Peso Borders;parsing Rojo
6;quantifying;2025-06-04T02:47:02;2025-06-04T19:06:39;Director invoice usuario;Deportes
7;SMTP Queso;2025-06-04T18:20:51;2025-06-04T21:31:19;Madera invoice Dinar;Ejecutivo Producto Aragón
8;Acero e-commerce JBOD;2025-06-04T21:43:30;2025-06-04T05:54:55;Galicia;generating Creativo vortals
9;out-of-the-box index wireless;2025-06-04T09:46:34;2025-06-04T23:46:52;Senda datos;Azul Rojo Bajada
10;visualize Asociado one-to-one;2025-06-04T17:28:32;2025-06-04T07:36:46;a Hormigon;Gris Futuro ábanico
