id;nro_sala;nombre;ubicacion;equipamiento
1;30663;transmitter Won Nacional;Apartamento Perseverando Cambridgeshire;cross-platform
2;13268;Gorro Coordinador Yen;estatica;deposit Guantes
3;64246;Metal Money action-items;open-source Hogar;Aplicaciones alianza
4;92736;Subida integrate Silla;Increible Account;Jefe
5;35337;capa Fácil Canarias;Sorprendente Plaza;Krona repurpose e-business
6;14447;Savings leverage;Regional Pantalones optical;Pequeño Nacional Buckinghamshire
7;18229;Mauritius;synergistic PNG generating;invoice
8;74916;24/7 Vasco;Blanco Genérico Account;magnetic Buckinghamshire Acero
9;75555;Ramal Verde Nuevo;Pescado Acero parse;Masía Persistente
10;6933;Guantes;Madera;Inteligente digital
