id;tipo_tratamiento;duracion;objetivo
1;digital;withdrawal Analista;protocol methodologies Account
2;Rojo Algodón;fidelidad XSS estable;capacitor Tugrik Borders
3;Morado deposit implementación;extensible customized Money;RSS
4;Gorro en;Madagascar;online Gris Plástico
5;enfoque Deportes Grupo;Granito;bus Ronda
6;Savings XML;Madera;Silla Raton
7;payment Joyería Comunidad;en encriptar Martinica;scale Consultor indexing
8;Cantabria Croacia Negro;Configuración bleeding-edge deliverables;Diseñador
9;ejecutiva Normas Norwegian;Exclusivo interfaz;Salida Pollo Acero
10;Dinar;Francia;Zapatos Mascotas
